,url,chapter,domain,sub-code,definition
39,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.3,Foodborne Vibrio parahaemolyticus intoxication
40,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.4,Foodborne Bacillus cereus intoxication
41,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.8,Other specified bacterial foodborne intoxications
42,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A05.9,"Bacterial foodborne intoxication, unspecified"
43,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06,Amoebiasis
44,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.0,Acute amoebic dysentery
45,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.1,Chronic intestinal amoebiasis
46,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.2,Amoebic nondysenteric colitis
47,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.3,Amoeboma of intestine
48,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.4†,Amoebic liver abscess (K77.0*)
49,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.5†,Amoebic lung abscess
50,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.6†,Amoebic brain abscess (G07*)
51,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.7,Cutaneous amoebiasis
52,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.8,Amoebic infection of other sites
53,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A06.9,"Amoebiasis, unspecified"
54,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07,Other protozoal intestinal diseases
55,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.0,Balantidiasis
56,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.1,Giardiasis [lambliasis]
57,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.2,Cryptosporidiosis
58,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.3,Isosporiasis
59,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.8,Other specified protozoal intestinal diseases
60,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A07.9,"Protozoal intestinal disease, unspecified"
61,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08,Viral and other specified intestinal infections
62,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.0,Rotaviral enteritis
63,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.1,Acute gastroenteropathy due to Norovirus
64,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.2,Adenoviral enteritis
65,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.3,Other viral enteritis
66,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.4,"Viral intestinal infection, unspecified"
67,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A08.5,Other specified intestinal infections
68,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A09,Other gastroenteritis and colitis of infectious and unspecified origin
69,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
70,https://icd.who.int/browse10/2019/en#/A00-A09,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Intestinal infectious diseases
(A00-A09)",A09.9,Gastroenteritis and colitis of unspecified origin
71,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
72,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
73,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.1,"Tuberculosis of lung, confirmed by culture only"
74,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.2,"Tuberculosis of lung, confirmed histologically"
75,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.3,"Tuberculosis of lung, confirmed by unspecified means"
76,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
77,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
78,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
79,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
80,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
81,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
82,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
83,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
84,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
85,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
86,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
87,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
88,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
89,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
90,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
91,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
92,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A17†,Tuberculosis of nervous system
93,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A17.0†,Tuberculous meningitis (G01*)
94,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A17.1†,Meningeal tuberculoma (G07*)
95,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A17.8†,Other tuberculosis of nervous system
96,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A17.9†,"Tuberculosis of nervous system, unspecified (G99.8*)"
97,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18,Tuberculosis of other organs
98,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.0†,Tuberculosis of bones and joints
99,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.1†,Tuberculosis of genitourinary system
100,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.2,Tuberculous peripheral lymphadenopathy
101,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
102,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.4,Tuberculosis of skin and subcutaneous tissue
103,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.5,Tuberculosis of eye
104,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.6,Tuberculosis of ear
105,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.7†,Tuberculosis of adrenal glands (E35.1*)
106,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A18.8,Tuberculosis of other specified organs
107,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19,Miliary tuberculosis
108,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19.0,Acute miliary tuberculosis of a single specified site
109,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19.1,Acute miliary tuberculosis of multiple sites
110,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19.2,"Acute miliary tuberculosis, unspecified"
111,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19.8,Other miliary tuberculosis
112,https://icd.who.int/browse10/2019/en#/A15-A19,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Tuberculosis
(A15-A19)",A19.9,"Miliary tuberculosis, unspecified"
113,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20,Plague
114,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.0,Bubonic plague
115,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.1,Cellulocutaneous plague
116,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.2,Pneumonic plague
117,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.3,Plague meningitis
118,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.7,Septicaemic plague
119,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.8,Other forms of plague
120,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A20.9,"Plague, unspecified"
121,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21,Tularaemia
122,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.0,Ulceroglandular tularaemia
123,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.1,Oculoglandular tularaemia
124,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.2,Pulmonary tularaemia
125,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.3,Gastrointestinal tularaemia
126,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.7,Generalized tularaemia
127,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.8,Other forms of tularaemia
128,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A21.9,"Tularaemia, unspecified"
129,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22,Anthrax
130,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.0,Cutaneous anthrax
131,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.1,Pulmonary anthrax
132,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.2,Gastrointestinal anthrax
133,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.7,Anthrax sepsis
134,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.8,Other forms of anthrax
135,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A22.9,"Anthrax, unspecified"
136,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23,Brucellosis
137,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.0,Brucellosis due to Brucella melitensis
138,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.1,Brucellosis due to Brucella abortus
139,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.2,Brucellosis due to Brucella suis
140,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.3,Brucellosis due to Brucella canis
141,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.8,Other brucellosis
142,https://icd.who.int/browse10/2019/en#/A20-A28,"Chapter I
Certain infectious and parasitic diseases
(A00-B99)","Certain zoonotic bacterial diseases
(A20-A28)",A23.9,"Brucellosis, unspecified"
